,"(a,b)",input_a,input_b,operand,const
0,"(9,2)",9,2,sub,9
1,"(9,2)",9,2,sum,9
2,"(9,2)",9,2,mul,9
3,"(9,2)",9,2,div,9
4,"(2,3)",2,3,sub,9
5,"(2,3)",2,3,sum,9
6,"(2,3)",2,3,mul,9
7,"(2,3)",2,3,div,9
8,"(5,5)",5,5,sub,9
9,"(5,5)",5,5,sum,9
10,"(5,5)",5,5,mul,9
11,"(5,5)",5,5,div,9
12,"(0,0)",0,0,sub,9
13,"(0,0)",0,0,sum,9
14,"(0,0)",0,0,mul,9
15,"(0,0)",0,0,div,9
16,"(1,2)",1,2,sub,9
17,"(1,2)",1,2,sum,9
18,"(1,2)",1,2,mul,9
19,"(1,2)",1,2,div,9
20,"(4,9)",4,9,sub,9
21,"(4,9)",4,9,sum,9
22,"(4,9)",4,9,mul,9
23,"(4,9)",4,9,div,9
24,"(0,2)",0,2,sub,9
25,"(0,2)",0,2,sum,9
26,"(0,2)",0,2,mul,9
27,"(0,2)",0,2,div,9
28,"(7,4)",7,4,sub,9
29,"(7,4)",7,4,sum,9
30,"(7,4)",7,4,mul,9
31,"(7,4)",7,4,div,9
32,"(2,6)",2,6,sub,9
33,"(2,6)",2,6,sum,9
34,"(2,6)",2,6,mul,9
35,"(2,6)",2,6,div,9
36,"(0,4)",0,4,sub,9
37,"(0,4)",0,4,sum,9
38,"(0,4)",0,4,mul,9
39,"(0,4)",0,4,div,9
40,"(0,4)",0,4,sub,9
41,"(0,4)",0,4,sum,9
42,"(0,4)",0,4,mul,9
43,"(0,4)",0,4,div,9
44,"(8,0)",8,0,sub,9
45,"(8,0)",8,0,sum,9
46,"(8,0)",8,0,mul,9
47,"(8,0)",8,0,div,9
48,"(2,7)",2,7,sub,9
49,"(2,7)",2,7,sum,9
50,"(2,7)",2,7,mul,9
51,"(2,7)",2,7,div,9
52,"(6,6)",6,6,sub,9
53,"(6,6)",6,6,sum,9
54,"(6,6)",6,6,mul,9
55,"(6,6)",6,6,div,9
56,"(3,7)",3,7,sub,9
57,"(3,7)",3,7,sum,9
58,"(3,7)",3,7,mul,9
59,"(3,7)",3,7,div,9
60,"(2,1)",2,1,sub,9
61,"(2,1)",2,1,sum,9
62,"(2,1)",2,1,mul,9
63,"(2,1)",2,1,div,9
64,"(7,9)",7,9,sub,9
65,"(7,9)",7,9,sum,9
66,"(7,9)",7,9,mul,9
67,"(7,9)",7,9,div,9
68,"(9,4)",9,4,sub,9
69,"(9,4)",9,4,sum,9
70,"(9,4)",9,4,mul,9
71,"(9,4)",9,4,div,9
72,"(2,5)",2,5,sub,9
73,"(2,5)",2,5,sum,9
74,"(2,5)",2,5,mul,9
75,"(2,5)",2,5,div,9
76,"(3,8)",3,8,sub,9
77,"(3,8)",3,8,sum,9
78,"(3,8)",3,8,mul,9
79,"(3,8)",3,8,div,9
80,"(3,4)",3,4,sub,9
81,"(3,4)",3,4,sum,9
82,"(3,4)",3,4,mul,9
83,"(3,4)",3,4,div,9
84,"(9,6)",9,6,sub,9
85,"(9,6)",9,6,sum,9
86,"(9,6)",9,6,mul,9
87,"(9,6)",9,6,div,9
88,"(5,8)",5,8,sub,9
89,"(5,8)",5,8,sum,9
90,"(5,8)",5,8,mul,9
91,"(5,8)",5,8,div,9
92,"(5,5)",5,5,sub,9
93,"(5,5)",5,5,sum,9
94,"(5,5)",5,5,mul,9
95,"(5,5)",5,5,div,9
96,"(1,0)",1,0,sub,9
