,"(a,b)",input_a,input_b,const
0,"(0,0)",0,0,9
1,"(1,0)",1,0,9
2,"(2,0)",2,0,9
3,"(3,0)",3,0,9
4,"(4,0)",4,0,9
5,"(5,0)",5,0,9
6,"(6,0)",6,0,9
7,"(7,0)",7,0,9
8,"(8,0)",8,0,9
9,"(9,0)",9,0,9
10,"(0,1)",0,1,9
11,"(1,1)",1,1,9
12,"(2,1)",2,1,9
13,"(3,1)",3,1,9
14,"(4,1)",4,1,9
15,"(5,1)",5,1,9
16,"(6,1)",6,1,9
17,"(7,1)",7,1,9
18,"(8,1)",8,1,9
19,"(9,1)",9,1,9
20,"(0,2)",0,2,9
21,"(1,2)",1,2,9
22,"(2,2)",2,2,9
23,"(3,2)",3,2,9
24,"(4,2)",4,2,9
25,"(5,2)",5,2,9
26,"(6,2)",6,2,9
27,"(7,2)",7,2,9
28,"(8,2)",8,2,9
29,"(9,2)",9,2,9
30,"(0,3)",0,3,9
31,"(1,3)",1,3,9
32,"(2,3)",2,3,9
33,"(3,3)",3,3,9
34,"(4,3)",4,3,9
35,"(5,3)",5,3,9
36,"(6,3)",6,3,9
37,"(7,3)",7,3,9
38,"(8,3)",8,3,9
39,"(9,3)",9,3,9
40,"(0,4)",0,4,9
41,"(1,4)",1,4,9
42,"(2,4)",2,4,9
43,"(3,4)",3,4,9
44,"(4,4)",4,4,9
45,"(5,4)",5,4,9
46,"(6,4)",6,4,9
47,"(7,4)",7,4,9
48,"(8,4)",8,4,9
49,"(9,4)",9,4,9
50,"(0,5)",0,5,9
51,"(1,5)",1,5,9
52,"(2,5)",2,5,9
53,"(3,5)",3,5,9
54,"(4,5)",4,5,9
55,"(5,5)",5,5,9
56,"(6,5)",6,5,9
57,"(7,5)",7,5,9
58,"(8,5)",8,5,9
59,"(9,5)",9,5,9
60,"(0,6)",0,6,9
61,"(1,6)",1,6,9
62,"(2,6)",2,6,9
63,"(3,6)",3,6,9
64,"(4,6)",4,6,9
65,"(5,6)",5,6,9
66,"(6,6)",6,6,9
67,"(7,6)",7,6,9
68,"(8,6)",8,6,9
69,"(9,6)",9,6,9
70,"(0,7)",0,7,9
71,"(1,7)",1,7,9
72,"(2,7)",2,7,9
73,"(3,7)",3,7,9
74,"(4,7)",4,7,9
75,"(5,7)",5,7,9
76,"(6,7)",6,7,9
77,"(7,7)",7,7,9
78,"(8,7)",8,7,9
79,"(9,7)",9,7,9
80,"(0,8)",0,8,9
81,"(1,8)",1,8,9
82,"(2,8)",2,8,9
83,"(3,8)",3,8,9
84,"(4,8)",4,8,9
85,"(5,8)",5,8,9
86,"(6,8)",6,8,9
87,"(7,8)",7,8,9
88,"(8,8)",8,8,9
89,"(9,8)",9,8,9
90,"(0,9)",0,9,9
91,"(1,9)",1,9,9
92,"(2,9)",2,9,9
93,"(3,9)",3,9,9
94,"(4,9)",4,9,9
95,"(5,9)",5,9,9
96,"(6,9)",6,9,9
97,"(7,9)",7,9,9
98,"(8,9)",8,9,9
99,"(9,9)",9,9,9
